CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
RDN,Reddish North Rail Station,389720,394750,1,SJ8972094750,53.44941,-2.156255
RDS,Reddish South Rail Station,389550,393250,2,SJ8955093250,53.435924,-2.1587643
RDA,Redland Rail Station,358480,174550,1,ST5848074550,51.468385,-2.5991234
RED,Redruth Rail Station,170040,42009,3,SW7004042009,50.233252,-5.2259152
RHM,Reedham (Surrey) Rail Station,530835,160785,2,TQ3083560785,51.331118,-0.12341583
REI,Reigate Rail Station,525476,150730,1,TQ2547650730,51.241957,-0.20382513
RTN,Renton Rail Station,238700,678290,1,NS3870078290,55.97043,-4.5861256
RNR,Roughton Road Rail Station,621940,340720,1,TG2194040720,52.918018,1.2997941
RAV,Ravenglass Rail Station,308540,496490,2,SD0854096490,54.355706,-3.4088136
RNH,Rainhill Rail Station,349160,391420,1,SJ4916091420,53.41712,-2.7664002
RHI,Rhiwbina Rail Station,315870,180950,1,ST1587080950,51.521178,-3.2139651
RIA,Rhoose Rail Station,306200,166200,1,ST0620066200,51.387065,-3.3493838
RHO,Rhosneigr Rail Station,232800,373800,1,SH3280073800,53.234836,-4.5066418
